oceans,regions,sub_regions,sampling_method,measurement,unit,density_range,density_class,date,season,year,density_marker_size,city_st,pop,pop_rescaled,geometry,lon,lat
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,1-2,Low,2019-12-31,Winter,2019,4.75,"Charleston, SC",120083,1.43871661402552,"c(-79.9612, 32.7879)",-79.96120000000002,32.7879
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,1-2,Low,2019-10-23,Fall,2019,4.75,"Charleston, SC",120083,1.43871661402552,"c(-79.9166, 32.7541)",-79.9166,32.7541
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2019-12-06,Winter,2019,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.9281, 32.7867)",-79.9281,32.7867
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2020-02-27,Winter,2020,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.9027, 32.751)",-79.9027,32.751
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,1-2,Low,2020-01-24,Winter,2020,4.75,"Charleston, SC",120083,1.43871661402552,"c(-79.9624, 32.7887)",-79.9624,32.7887
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2022-01-27,Winter,2022,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.9709, 32.891)",-79.9709,32.891
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2019-10-17,Fall,2019,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.9166, 32.7541)",-79.9166,32.7541
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2020-03-06,Spring,2020,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.9054, 32.8017)",-79.9054,32.8017
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2020-07-09,Summer,2020,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.8571, 32.757)",-79.8571,32.757
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2021-12-10,Winter,2021,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.9721, 32.8917)",-79.9721,32.89169999999999
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,0,Very Low,2019-11-20,Fall,2019,3,"Charleston, SC",120083,1.43871661402552,"c(-79.9271, 32.7729)",-79.9271,32.7729
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2020-01-01,Winter,2020,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.8572, 32.757)",-79.8572,32.757
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,0,Very Low,2021-12-01,Winter,2021,3,"Charleston, SC",120083,1.43871661402552,"c(-79.962, 32.7884)",-79.962,32.7884
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2019-12-19,Winter,2019,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.8571, 32.7571)",-79.8571,32.7571
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2022-01-26,Winter,2022,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.9337, 32.8021)",-79.9337,32.8021
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2020-02-14,Winter,2020,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.9281, 32.7867)",-79.9281,32.7867
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2021-10-18,Fall,2021,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.9252, 32.7759)",-79.9252,32.7759
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2020-10-23,Fall,2020,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.9262, 32.7872)",-79.9262,32.78719999999999
